target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
111,2015-05-29,3,04 08 11 13 28 30 35,07 08 09 24 28 30 33,01 34,3,0,外れ
111,2015-05-29,4,03 04 11 24 28 30 35,07 08 09 24 28 30 33,01 34,3,0,外れ
111,2015-05-29,5,03 04 11 13 28 30 36,07 08 09 24 28 30 33,01 34,2,0,外れ
112,2015-06-05,1,04 08 11 28 30 35 36,06 07 10 15 27 35 36,13 20,2,0,外れ
112,2015-06-05,2,03 08 11 24 28 30 35,06 07 10 15 27 35 36,13 20,1,0,外れ
112,2015-06-05,3,01 04 11 24 28 30 35,06 07 10 15 27 35 36,13 20,1,0,外れ
112,2015-06-05,4,01 03 11 28 30 35 36,06 07 10 15 27 35 36,13 20,2,0,外れ
112,2015-06-05,5,01 08 11 13 28 30 35,06 07 10 15 27 35 36,13 20,1,1,外れ
113,2015-06-12,1,04 07 11 28 30 35 36,04 06 07 09 15 17 37,14 20,2,0,外れ
113,2015-06-12,2,03 08 11 28 30 35 36,04 06 07 09 15 17 37,14 20,0,0,外れ
113,2015-06-12,3,07 08 11 24 28 30 35,04 06 07 09 15 17 37,14 20,1,0,外れ
113,2015-06-12,4,04 08 24 28 30 35 36,04 06 07 09 15 17 37,14 20,1,0,外れ
113,2015-06-12,5,01 04 08 11 28 30 35,04 06 07 09 15 17 37,14 20,1,0,外れ
114,2015-06-19,1,04 07 11 28 30 35 36,08 13 26 27 28 29 37,04 12,1,1,外れ
114,2015-06-19,2,04 07 08 15 28 30 35,08 13 26 27 28 29 37,04 12,2,1,外れ
